31260,352P,744,1191,1191
31260,37P,744,2813,2813
31291,352P,672,950,950
31291,37P,672,950,950
31321,352P,144,30,30
31321,37P,144,170,170
31352,352P,600,121,121
31352,37P,720,479,479
31382,352P,744,143,143
31382,37P,744,357,357
31413,352P,720,142,142
31413,37P,720,358,358
31444,352P,744,170,170
31444,37P,744,430,430
31472,352P,744,171,171
31472,37P,744,429,429
31503,352P,720,171,171
31503,37P,720,429,429
31533,352P,744,285,285
31533,37P,744,315,315
31564,352P,720,285,285
31564,37P,720,315,315
31594,352P,72,57,57
31594,37P,744,410,410
31594,644,456,595,595
31594,667,144,151,151
31594,692,24,25,25
31625,352P,744,1648,1648
31625,37P,744,2747,2747
31625,643,360,578,584
31625,644,744,494,494
31625,666,480,1228,1240
31625,667,744,208,692
31625,692,744,690,690
31625,693,72,107,114
31656,352P,696,1678,1678
31656,37P,696,2793,2793
31656,643,696,1217,1230
31656,644,696,502,502
31656,665,120,136,136
31656,666,696,1935,1955
31656,667,24,8,25
31656,692,696,702,702
31656,693,696,1129,1204
31686,352P,744,2106,2106
31686,370P,48,47,47
31686,37P,744,3506,3506
31686,593,288,281,281
31686,618,288,281,281
31686,643,744,1527,1543
31686,644,744,632,632
31686,665,744,987,987
31686,666,744,2430,2455
31686,667,144,85,106
31686,669,384,375,375
31686,692,744,883,883
31686,693,744,1416,1510
31686,695,696,544,680
31717,352P,720,1726,1726
31717,370P,720,305,305
31717,37P,720,3172,3172
31717,593,720,1371,1371
31717,618,720,595,595
31717,641,96,61,61
31717,643,720,1381,1395
31717,644,720,609,609
31717,664,48,20,20
31717,665,720,507,507
31717,666,720,1508,1523
31717,667,24,24,30
31717,669,720,595,595
31717,691,576,305,305
31717,692,720,725,725
31717,693,720,381,381
31717,694,504,267,267
31717,695,720,448,457
31747,352P,744,2161,2161
31747,370P,744,366,366
31747,37P,744,3963,3963
31747,593,744,1647,1647
31747,595,600,1452,1452
31747,618,744,433,433
31747,641,744,216,216
31747,643,744,1659,1676
31747,644,744,93,466
31747,664,744,366,366
31747,665,744,608,608
31747,666,744,519,1298
31747,667,744,287,359
31747,669,744,715,715
31747,691,744,504,504
31747,692,744,872,872
31747,693,744,457,457
31747,694,744,719,719
31747,695,744,537,549
31747,719,168,163,163
31747,770,168,163,163
31778,352P,720,1651,1651
31778,370P,720,391,391
31778,37P,720,3302,3302
31778,593,720,1757,1757
31778,595,624,228,228
31778,618,648,207,207
31778,639,96,44,44
31778,641,720,231,231
31778,643,720,1143,1155
31778,644,720,100,503
31778,664,648,296,296
31778,665,648,237,237
31778,666,720,397,992
31778,667,720,39,385
31778,669,648,296,296
31778,691,720,857,857
31778,692,720,931,931
31778,693,720,488,488
31778,694,720,768,768
31778,695,672,210,214
31778,719,720,659,659
31778,770,720,768,768
31809,352P,744,1162,1162
31809,370P,744,276,276
31809,37P,744,2531,2531
31809,593,744,1117,1117
31809,618,192,71,71
31809,639,744,1075,1075
31809,641,96,21,21
31809,642,168,95,95
31809,643,744,959,969
31809,644,744,71,358
31809,666,744,421,1054
31809,667,96,3,35
31809,668,576,326,326
31809,670,168,95,95
31809,691,744,358,358
31809,692,600,207,207
31809,693,528,244,244
31809,694,744,780,780
31809,719,744,653,653
31809,770,48,35,35
31837,352P,744,670,670
31837,370P,744,239,239
31837,37P,744,1880,1880
31837,593,744,969,969
31837,618,744,237,237
31837,639,744,1074,1074
31837,642,744,644,644
31837,643,744,1116,1128
31837,644,360,27,148
31837,645,240,423,450
31837,664,24,14,17
31837,666,744,484,1210
31837,668,744,1209,1209
31837,670,744,291,364
31837,691,408,287,287
31837,692,312,6,115
31837,694,744,676,676
31837,696,480,606,606
31837,718,48,26,26
31837,719,744,806,806
31837,746,240,312,312
31837,769,192,234,312
31868,352P,720,706,706
31868,370P,720,253,253
31868,37P,720,1980,1980
31868,577,216,342,342
31868,578,168,236,236
31868,593,720,1022,1022
31868,614,672,609,609
31868,618,720,249,249
31868,639,720,1132,1132
31868,642,720,680,680
31868,643,360,529,536
31868,645,720,1382,1470
31868,664,600,501,535
31868,666,720,510,1275
31868,668,720,1274,1274
31868,670,720,307,384
31868,691,720,565,565
31868,692,504,8,800
31868,694,720,712,712
31868,696,720,990,990
31868,718,720,426,426
31868,719,720,850,850
31868,720,360,441,441
31868,721,48,28,28
31868,722,216,294,294
31868,746,720,1019,1019
31868,769,720,955,1273
31898,352P,744,602,602
31898,370P,744,240,240
31898,37P,744,1930,1930
31898,577,744,844,844
31898,578,336,370,370
31898,593,739,781,781
31898,614,739,566,566
31898,618,504,245,245
31898,639,739,719,719
31898,640,24,23,23
31898,642,744,844,844
31898,645,739,761,761
31898,664,24,1,20
31898,666,739,784,784
31898,668,720,634,634
31898,670,744,603,2413
31898,691,744,1086,1086
31898,692,24,1,36
31898,694,739,784,784
31898,696,744,1326,1326
31898,718,744,724,724
31898,719,739,657,657
31898,720,744,724,724
31898,721,744,362,362
31898,722,744,602,602
31898,746,744,602,602
31898,769,744,1085,1206
31929,352P,720,598,598
31929,370P,720,238,238
